State,City,Lat,Lon,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20
CA,Brentwood,34.06626,-118.47033,0,1,13,16,18,23,27,31,34,42,30,31,33,34,36,39,42,44
CA,West Hollywood,34.09069,-118.37053,5,8,12,15,18,19,23,31,31,35,42,50,52,53,56,64,68,73
CA,Long Beach,33.76672,-118.1924,5,8,12,14,15,15,19,28,41,54,70,88,99,106,123,139,139,171
CA,Melrose,34.08366,-118.35515,2,9,11,11,12,17,19,26,33,47,49,56,71,82,100,104,113,121
CA,Encino,34.16536,-118.52706,3,5,6,8,10,10,10,12,13,21,23,26,27,29,30,32,33,35
CA,Hollywood,34.10156,-118.33708,0,0,5,7,12,12,14,19,23,27,30,38,44,49,61,67,71,73
CA,Manhattan Beach,33.8872,-118.41086,3,4,5,6,7,7,9,11,17,21,22,23,27,31,40,41,43,45
CA,Pacific Palisades,34.04709,-118.52679,0,0,5,6,7,7,8,9,9,12,10,11,15,18,22,23,24,25
CA,Sherman Oaks,34.15106,-118.44434,2,2,5,6,7,7,8,10,12,17,21,25,27,32,33,37,43,46
CA,Tarzana,34.17529,-118.5501,5,5,5,6,7,8,8,9,9,14,17,19,23,24,26,29,29,30
CA,Beverly Hills,34.07346,-118.40032,1,1,4,5,7,8,12,12,13,15,21,21,24,28,35,39,45,53
CA,Boyle Heights,34.04004,-118.2105,5,5,5,5,5,5,5,5,5,7,8,8,10,11,11,15,20,28
CA,Lomita,33.80528,-118.3199,0,0,5,5,7,8,8,9,9,12,#N/A,1,1,1,1,1,1,6
CA,North Hollywood,34.16982,-118.37899,0,1,3,5,5,5,9,10,11,15,18,26,30,34,39,45,57,67
CA,Westwood,34.06168,-118.44545,0,0,2,5,5,5,6,6,9,11,16,17,22,26,28,26,25,27
CA,Century City,34.05944,-118.41281,0,0,5,4,4,4,4,6,7,9,6,8,8,9,13,17,17,19
CA,Culver City,34.02161,-118.39621,2,2,3,4,4,4,5,7,6,8,6,7,9,14,15,17,19,20
CA,Glendale,34.14633,-118.24864,2,3,4,4,5,6,9,10,12,23,29,36,46,62,76,86,93,103
CA,Granada Hills,34.26394,-118.49794,3,3,4,4,4,4,5,5,7,8,8,8,8,9,10,14,19,21
CA,Park La Brea,34.06256,-118.35763,0,0,3,4,4,4,6,8,8,8,1,1,1,1,1,5,6,6
CA,Santa Clarita,34.39259,-118.57305,3,3,3,4,4,4,7,7,10,16,24,32,38,41,48,50,65,78
CA,Santa Monica,34.01158,-118.49227,1,1,2,4,5,7,12,16,18,21,28,38,41,47,49,53,56,62
CA,Venice,33.98754,-118.47215,1,2,4,4,6,7,7,8,9,11,11,13,17,18,18,18,20,20
CA,Woodland Hills,34.166022,-118.608749,0,2,3,4,5,5,7,8,11,13,14,18,19,22,25,29,33,36
CA,Alhambra,34.0937,-118.12727,2,1,2,3,3,3,4,5,6,8,8,10,10,11,13,13,15,17
CA,Carson,33.83161,-118.26209,1,1,1,3,3,4,6,8,9,21,21,26,28,35,39,44,55,63
CA,La Mirada,33.90853,-118.01173,2,3,3,3,3,3,3,3,4,5,5,6,7,7,8,9,11,11
CA,Lancaster,34.685194,-118.15755,0,0,0,3,3,4,7,8,13,16,18,19,23,27,31,32,33,38
CA,Mar Vista,34.00468,-118.42913,0,1,1,3,4,5,6,6,6,8,8,8,9,13,13,18,21,23
CA,Studio City,34.14453,-118.39561,0,0,3,3,4,4,7,7,7,11,10,10,14,15,18,19,19,19
CA,Valley Glen,34.18693,-118.41381,0,0,1,3,6,6,7,9,11,12,2,3,4,4,7,8,11,12
CA,West Hills,34.20036,-118.62933,3,3,3,3,4,4,4,4,4,4,5,5,6,7,10,10,11,12
CA,West Los Angeles,34.04647,-118.43395,0,0,2,3,3,3,4,4,4,5,9,13,18,19,20,22,24,25
CA,Westchester,33.95973,-118.41369,1,2,3,3,3,3,3,3,5,7,8,12,17,17,17,18,18,22
CA,Altadena,34.190105,-118.132206,0,0,0,2,3,3,5,5,5,6,9,10,10,10,12,14,16,16
CA,Arcadia,34.13614,-118.03887,1,1,2,2,2,2,3,4,4,6,6,8,9,9,10,12,12,13
CA,Beverlywood,34.05138,-118.40133,0,0,2,2,5,6,7,7,8,10,8,10,11,11,13,15,15,16
CA,Diamond Bar,34.00086,-117.82907,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,6,7,8
CA,Hancock Park,34.06892,-118.33255,0,0,2,2,4,5,6,7,8,10,14,17,18,26,30,33,34,33
CA,Hawthorne,33.91819,-118.35374,0,0,1,2,2,2,3,6,8,9,7,11,11,13,19,22,26,30
CA,Hollywood Hills,34.118184,-118.3521,0,0,2,2,2,5,7,8,8,17,19,23,24,26,29,32,34,36
CA,Inglewood,33.96178,-118.35674,2,1,2,2,2,3,3,5,5,12,12,14,20,26,31,37,44,55
CA,Monterey Park,34.05979,-118.12651,0,1,2,2,3,3,3,3,4,4,4,5,5,5,7,9,11,12
CA,Pasadena,34.14745,-118.14427,2,2,2,2,3,3,3,6,7,10,10,10,10,25,25,33,43,53
CA,Reseda,34.19384,-118.54754,0,0,1,2,3,2,3,4,5,8,8,11,13,20,20,20,21,25
CA,Santa Monica Mountains,34.12028,-118.93176,0,0,2,2,3,2,2,2,3,4,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1-4
CA,South Pasadena,34.1158,-118.15213,1,1,1,2,2,3,3,3,3,4,3,3,5,5,6,7,7,7
CA,Torrance,33.83705,-118.34312,2,1,2,2,2,3,4,5,9,14,21,32,34,43,53,63,69,76
CA,Walnut,34.02693,-117.8405,0,0,1,2,1,1,1,1,1,1,1,2,3,3,3,4,4,6
CA,Whittier,33.97542,-118.03407,0,0,2,2,2,2,2,3,3,3,4,6,8,8,12,15,16,16
CA,Baldwin Hills,34.02157,-118.36765,0,1,1,1,2,3,3,3,3,4,5,7,9,9,11,13,13,14
CA,Burbank,34.18182,-118.30776,0,0,1,1,1,2,2,2,3,6,7,17,19,21,27,39,41,50
CA,Calabasas,34.15778,-118.63842,0,0,1,1,1,2,3,4,4,5,7,10,10,11,13,13,13,16
CA,Castaic,34.49538,-118.62484,0,0,1,1,1,1,1,2,2,2,3,4,4,3,3,3,4,4
CA,Covina,34.08743,-117.88991,0,0,1,1,1,1,1,3,3,4,3,3,6,8,7,9,11,11
